-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                nvjet_tst_64x24_64x16_2x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.089ms         0.70%       2.089ms      43.517us           0 B           0 B           0 B           0 B            48            --  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.011ms         0.67%       2.011ms       2.465us           0 B           0 B           0 B           0 B           816            --  
                                         aten::_softmax         0.13%     761.162us         0.21%       1.210ms      35.576us       1.983ms         0.66%       1.983ms      58.315us           0 B           0 B      85.03 MB      85.03 MB            34            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       1.983ms         0.66%       1.983ms      58.315us           0 B           0 B           0 B           0 B            34            --  
                                             aten::sort         1.31%       7.439ms        26.25%     148.693ms       8.747ms       1.847ms         0.62%       2.990ms     175.867us           0 B           0 B     111.38 MB     111.38 MB            17            --  
void cutlass::device_kernel<flash::FlashAttnFwdCombi...         0.00%       0.000us         0.00%       0.000us       0.000us       1.844ms         0.61%       1.844ms       2.260us           0 B           0 B           0 B           0 B           816            --  
                                  Lazy Function Loading         0.27%       1.511ms         0.27%       1.511ms      94.463us       1.627ms         0.54%       1.627ms     101.668us           0 B           0 B           0 B           0 B            16            --  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       1.600ms         0.53%       1.600ms       2.002us           0 B           0 B           0 B           0 B           799            --  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.550ms         0.52%       1.550ms       1.899us           0 B           0 B           0 B           0 B           816            --  
                     nvjet_tst_64x24_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.511ms         0.50%       1.511ms      31.478us           0 B           0 B           0 B           0 B            48            --  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us       1.414ms         0.47%       1.414ms       1.769us           0 B           0 B           0 B           0 B           799            --  
                                       _vllm_fa3_C::fwd         0.85%       4.826ms         1.91%      10.809ms     112.593us       1.324ms         0.44%       1.324ms      13.795us           0 B           0 B     858.54 MB           0 B            96            --  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us     995.157us         0.33%     995.157us      14.635us           0 B           0 B           0 B           0 B            68            --  
                                            aten::copy_         0.80%       4.506ms         3.02%      17.128ms      69.625us     607.658us         0.20%     611.114us       2.484us           0 B           0 B           0 B           0 B           246            --  
                       Runtime Triggered Module Loading        23.91%     135.433ms        23.91%     135.433ms      33.858ms     350.798us         0.12%     350.798us      87.699us           0 B           0 B           0 B           0 B             4            --  
                                   cudaDriverGetVersion         0.01%      57.603us         0.01%      57.603us       0.510us     350.660us         0.12%     350.660us       3.103us           0 B           0 B           0 B           0 B           113            --  
                  _C_cache_ops::reshape_and_cache_flash         0.21%       1.203ms         0.51%       2.888ms      30.080us     317.767us         0.11%     317.767us       3.310us           0 B           0 B           0 B           0 B            96            --  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     267.652us         0.09%     267.652us       2.390us           0 B           0 B           0 B           0 B           112            --  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     248.131us         0.08%     248.131us      13.785us           0 B           0 B           0 B           0 B            18            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     247.393us         0.08%     247.393us       1.345us           0 B           0 B           0 B           0 B           184            --  
                                          aten::scatter         0.15%     835.146us         0.40%       2.277ms     133.957us     244.899us         0.08%     284.515us      16.736us           0 B           0 B      37.12 MB      37.12 MB            17            --  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us     196.611us         0.07%     196.611us      12.288us           0 B           0 B           0 B           0 B            16            --  
                                           aten::argmax         0.16%     909.916us         0.25%       1.408ms      82.796us     194.051us         0.06%     194.051us      11.415us           0 B           0 B       8.50 KB       8.50 KB            17            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     179.332us         0.06%     179.332us      10.549us           0 B           0 B           0 B           0 B            17            --  
                                             aten::div_         0.13%     748.447us         0.24%       1.373ms      40.390us     149.313us         0.05%     149.313us       4.392us           0 B           0 B           0 B           0 B            34            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     135.328us         0.05%     135.328us       2.050us           0 B           0 B           0 B           0 B            66            --  
void at::native::(anonymous namespace)::sort_postpro...         0.00%       0.000us         0.00%       0.000us       0.000us     134.021us         0.04%     134.021us       8.376us           0 B           0 B           0 B           0 B            16            --  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us     108.581us         0.04%     108.581us       6.387us           0 B           0 B           0 B           0 B            17            --  
                                        cudaGraphLaunch         6.91%      39.136ms         6.91%      39.136ms     346.337us      99.008us         0.03%      99.008us       0.876us           0 B           0 B           0 B           0 B           113            --  
                                     aten::exponential_         0.08%     440.041us         0.14%     766.797us      45.106us      92.290us         0.03%      92.290us       5.429us           0 B           0 B           0 B           0 B            17            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      92.290us         0.03%      92.290us       5.429us           0 B           0 B           0 B           0 B            17            --  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.00%       0.000us         0.00%       0.000us       0.000us      88.900us         0.03%      88.900us       5.229us           0 B           0 B           0 B           0 B            17            --  
                                               aten::le         0.09%     493.077us         0.13%     726.318us      42.725us      76.704us         0.03%      76.704us       4.512us           0 B           0 B       9.28 MB       9.28 MB            17            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      76.704us         0.03%      76.704us       4.512us           0 B           0 B           0 B           0 B            17            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      76.035us         0.03%      76.035us       4.473us           0 B           0 B           0 B           0 B            17            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      75.938us         0.03%      75.938us       4.467us           0 B           0 B           0 B           0 B            17            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      73.375us         0.02%      73.375us       4.316us           0 B           0 B           0 B           0 B            17            --  
at::native::(anonymous namespace)::fill_index_and_se...         0.00%       0.000us         0.00%       0.000us       0.000us      72.546us         0.02%      72.546us       4.534us           0 B           0 B           0 B           0 B            16            --  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      59.106us         0.02%      59.106us       3.477us           0 B           0 B           0 B           0 B            17            --  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us      57.026us         0.02%      57.026us       3.564us           0 B           0 B           0 B           0 B            16            --  
                                            aten::fill_         0.86%       4.859ms         1.03%       5.830ms      85.733us      56.928us         0.02%      59.328us       0.872us           0 B           0 B           0 B           0 B            68            --  
                                              aten::sub         0.27%       1.525ms         0.45%       2.530ms      74.426us      56.867us         0.02%      58.691us       1.726us           0 B           0 B      17.00 KB      17.00 KB            34            --  
                    _vllm_fa3_C::get_scheduler_metadata         0.13%     721.930us         0.30%       1.714ms     100.829us      43.837us         0.01%      43.837us       2.579us           0 B           0 B       8.50 KB           0 B            17            --  
flash::prepare_varlen_num_blocks_kernel(int, int, in...         0.00%       0.000us         0.00%       0.000us       0.000us      43.837us         0.01%      43.837us       2.579us           0 B           0 B           0 B           0 B            17            --  
                                     aten::masked_fill_         0.06%     349.913us         0.11%     595.764us      35.045us      42.849us         0.01%      42.849us       2.521us           0 B           0 B           0 B           0 B            17            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      42.849us         0.01%      42.849us       2.521us           0 B           0 B           0 B           0 B            17            --  
                                     triton_poi_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      42.081us         0.01%      42.081us       2.475us           0 B           0 B           0 B           0 B            17            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      40.639us         0.01%      40.639us       2.391us           0 B           0 B           0 B           0 B            17            --  
                                            aten::index         0.23%       1.318ms         0.78%       4.432ms     246.237us      40.128us         0.01%      85.919us       4.773us           0 B           0 B     640.50 KB     632.00 KB            18            --  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us      34.145us         0.01%      34.145us       2.009us           0 B           0 B           0 B           0 B            17            --  
void at_cuda_detail::cub::DeviceRadixSortExclusiveSu...         0.00%       0.000us         0.00%       0.000us       0.000us      33.567us         0.01%      33.567us       1.975us           0 B           0 B           0 B           0 B            17            --  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      32.160us         0.01%      32.160us       2.010us           0 B           0 B           0 B           0 B            16            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.498us         0.01%      30.498us       1.794us           0 B           0 B           0 B           0 B            17            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      29.952us         0.01%      29.952us       1.872us           0 B           0 B           0 B           0 B            16            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      28.898us         0.01%      28.898us       1.700us           0 B           0 B           0 B           0 B            17            --  
void at_cuda_detail::cub::DeviceRadixSortExclusiveSu...         0.00%       0.000us         0.00%       0.000us       0.000us      28.641us         0.01%      28.641us       1.790us           0 B           0 B           0 B           0 B            16            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      26.369us         0.01%      26.369us       1.551us           0 B           0 B           0 B           0 B            17            --  
                                  cudaStreamIsCapturing         0.07%     378.332us         0.07%     378.332us       1.873us      25.504us         0.01%      25.504us       0.126us           0 B           0 B           0 B           0 B           202            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      21.248us         0.01%      21.248us       1.328us           0 B           0 B           0 B           0 B            16            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.088us         0.00%       5.088us       5.088us           0 B           0 B           0 B           0 B             1            --  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us       3.968us         0.00%       3.968us       3.968us           0 B           0 B           0 B           0 B             1            --  
                                         aten::scatter_         0.08%     443.980us         0.08%     480.748us     480.748us       3.232us         0.00%       3.232us       3.232us           0 B           0 B           0 B           0 B             1            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.880us         0.00%       2.880us       2.880us           0 B           0 B           0 B           0 B             1            --  
at::native::(anonymous namespace)::fill_reverse_indi...         0.00%       0.000us         0.00%       0.000us       0.000us       2.657us         0.00%       2.657us       2.657us           0 B           0 B           0 B           0 B             1            --  
                                   cudaEventSynchronize        25.25%     143.029ms        45.51%     257.814ms       7.366ms       1.985us         0.00%      19.627ms     560.765us           0 B           0 B       1.21 MB    -287.86 MB            35            --  
                               cudaEventRecordWithFlags         0.03%     151.405us         0.03%     151.405us       4.206us       1.984us         0.00%       1.984us       0.055us           0 B           0 B           0 B           0 B            36            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.696us         0.00%       1.696us       1.696us           0 B           0 B           0 B           0 B             1            --  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.632us         0.00%       1.632us       1.632us           0 B           0 B           0 B           0 B             1            --  
void at_cuda_detail::cub::DeviceScanInitKernel<at_cu...         0.00%       0.000us         0.00%       0.000us       0.000us       1.344us         0.00%       1.344us       1.344us           0 B           0 B           0 B           0 B             1            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.216us         0.00%       1.216us       1.216us           0 B           0 B           0 B           0 B             1            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.184us         0.00%       1.184us       1.184us           0 B           0 B           0 B           0 B             1            --  
                                Activity Buffer Request         0.98%       5.560ms         0.98%       5.560ms       5.560ms       1.184us         0.00%       1.184us       1.184us           0 B           0 B           0 B           0 B             1            --  
                   execute_context_1(6)_generation_0(0)         6.31%      35.768ms        16.48%      93.367ms      93.367ms       0.000us         0.00%       3.004ms       3.004ms           0 B           0 B     307.00 KB      -1.00 KB             1            --  
                                            aten::slice         1.10%       6.236ms         1.39%       7.886ms      11.597us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           680            --  
                                       aten::as_strided         0.58%       3.309ms         0.58%       3.309ms       2.484us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1332            --  
                                        cudaMemcpyAsync         0.96%       5.455ms         0.96%       5.459ms      27.997us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           195            --  
                                       aten::lift_fresh         0.02%     122.693us         0.02%     122.693us       2.315us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            53            --  
                                          aten::flatten         0.03%     185.328us         0.06%     347.581us      20.446us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            17            --  
                                             aten::view         0.06%     322.273us         0.06%     322.273us       6.198us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            52            --  
                                     aten::index_select         0.11%     625.971us         0.11%     625.971us      36.822us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            17            --  
                                       cudaLaunchKernel         2.16%      12.215ms         2.36%      13.346ms      18.984us       0.000us         0.00%     586.740us       0.835us           0 B           0 B           0 B           0 B           703            --  
                                            aten::empty         0.60%       3.378ms         0.62%       3.488ms      11.362us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     858.55 MB     858.55 MB           307            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 566.547ms
Self CUDA time total: 300.243ms

